,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,Location,NewConfirmedCases,Latitude,Longitude,Population,Weight
22949,32710,,Zimbabwe,2020-04-05,9.0,1.0,Zimbabwe,0.0,-18.4554963,29.7468414,16530000,0.0
374,503,,Angola,2020-04-05,14.0,2.0,Angola,4.0,-11.8775768,17.5691241,32866272,1.217053154066272e-07
2624,3713,,Burma,2020-04-05,21.0,1.0,Burma,0.0,17.1750495,95.9999652,53370000,0.0
1349,1894,,Azerbaijan,2020-04-05,584.0,7.0,Azerbaijan,63.0,40.3936294,47.7872508,10139177,6.2135220639702805e-06
1199,1680,Western Australia,Australia,2020-04-05,453.0,3.0,Western Australia Australia,17.0,-25.2303005,121.0187246,2589000,6.56624179219776e-06
74,75,,Afghanistan,2020-04-05,349.0,7.0,Afghanistan,50.0,33.7680065,66.2385139,38928346,1.284411107525606e-06
149,182,,Albania,2020-04-05,361.0,20.0,Albania,28.0,41.000028,19.9999619,2877797,9.729664740077219e-06
224,289,,Algeria,2020-04-05,1320.0,152.0,Algeria,69.0,28.0000272,2.9999825,43851044,1.573508717375121e-06
299,396,,Andorra,2020-04-05,501.0,18.0,Andorra,35.0,42.5407167,1.5732033,77265,0.00045298647511810003
449,610,,Antigua and Barbuda,2020-04-05,15.0,0.0,Antigua and Barbuda,0.0,17.2234721,-61.9554608,97929,0.0
9524,13557,,Germany,2020-04-05,100123.0,1584.0,Germany,4031.0,51.0834196,10.4234469,83783942,4.8111844630084366e-05
524,717,,Argentina,2020-04-05,1451.0,44.0,Argentina,0.0,-34.9964963,-64.9672817,45195774,0.0
599,824,,Armenia,2020-04-05,822.0,7.0,Armenia,52.0,40.7696272,44.6736646,2963243,1.7548341462377537e-05
674,931,Australian Capital Territory,Australia,2020-04-05,96.0,2.0,Australian Capital Territory Australia,3.0,-35.4883502,149.0026942,418440,7.169486664754803e-06
749,1038,New South Wales,Australia,2020-04-05,2580.0,16.0,New South Wales Australia,87.0,-31.8759835,147.2869493,7544000,1.1532343584305408e-05
824,1145,Northern Territory,Australia,2020-04-05,27.0,0.0,Northern Territory Australia,1.0,-19.8516101,133.2303375,244300,4.093327875562833e-06
899,1252,Queensland,Australia,2020-04-05,907.0,4.0,Queensland Australia,7.0,-22.1646782,144.5844903,5071000,1.3803983435219878e-06
974,1359,South Australia,Australia,2020-04-05,407.0,0.0,South Australia Australia,0.0,-30.5343665,135.6301212,1677000,0.0
1424,2001,,Bahamas,2020-04-05,28.0,4.0,Bahamas,0.0,24.7736546,-78.0000547,385340,0.0
2549,3606,,Burkina Faso,2020-04-05,345.0,17.0,Burkina Faso,27.0,12.0753083,-1.6880314,20903273,1.2916637504566868e-06
2474,3499,,Bulgaria,2020-04-05,531.0,20.0,Bulgaria,28.0,42.6073975,25.4856617,6948445,4.029678582762043e-06
2399,3392,,Brunei,2020-04-05,135.0,1.0,Brunei,0.0,4.4137155,114.5653908,437479,0.0
5624,7993,Macau,China,2020-04-05,44.0,0.0,Macau China,1.0,22.1757605,113.5514142,622567,1.606252820981517e-06
5549,7886,Liaoning,China,2020-04-05,142.0,2.0,Liaoning China,1.0,40.9975197,122.9955469,43900000,2.2779043280182232e-08
5474,7779,Jilin,China,2020-04-05,98.0,1.0,Jilin China,0.0,42.9995032,125.9816054,27460000,0.0
1499,2108,,Bahrain,2020-04-05,700.0,4.0,Bahrain,12.0,26.1551249,50.5344606,1701575,7.052289790341302e-06
1574,2215,,Bangladesh,2020-04-05,88.0,9.0,Bangladesh,18.0,24.4768783,90.2932426,164689383,1.0929666303989979e-07
1649,2322,,Barbados,2020-04-05,56.0,1.0,Barbados,4.0,13.1500331,-59.5250305,287375,1.3919095258808178e-05
1724,2429,,Belarus,2020-04-05,562.0,8.0,Belarus,122.0,53.4250605,27.6971358,9449323,1.291097785523894e-05
1799,2536,,Belgium,2020-04-05,19691.0,1447.0,Belgium,1260.0,50.6402809,4.6667145,11589623,0.00010871794535508186
1874,2643,,Belize,2020-04-05,5.0,0.0,Belize,1.0,16.8259793,-88.7600927,374681,2.6689370424441056e-06
